BAscore,abv,beer_id,beer_img,beer_name,beer_style,brewery,desc,num_reviews,ranking
4.35,7.00,1,https://cdn.beeradvocate.com/im/beers/141544.jpg,Yakima Fresh Hop,American IPA,Columbus Brewing Company,None provided.,29,1033
3.59,7.00,2,https://cdn.beeradvocate.com/im/beers/94770.jpg,Red Clay IPA,American IPA,Sunken City Brewing Company,None provided.,24,38065
3.97,7.00,3,https://cdn.beeradvocate.com/im/beers/118069.jpg,Traitor IPA,American IPA,Badger Hill Brewing Company,None provided.,18,11638
3.97,6.50,4,https://cdn.beeradvocate.com/im/beers/93370.jpg,OG Wheat India Pale Ale,American IPA,10 Barrel Brewing Co.,None provided.,22,11567
3.96,6.00,5,https://cdn.beeradvocate.com/im/beers/180860.jpg,Streaker,American IPA,Rhinegeist Brewery,"The Base Malt, coming in at 27% of the votes, was American Pale Ale. In addition, the winning Specialty Malts were Cara Red (18%) and Rye Malt (17%). The two hops that rose above the rest were Citra at 18% and Mosaic at 15%. Yummmm!",24,12283
3.65,6.30,6,https://cdn.beeradvocate.com/im/beers/113027.jpg,Pleasure Town IPA,American IPA,Midnight Sun Brewing Co.,None provided.,28,34824
3.62,7.00,7,,Swamp Fox IPA,American IPA,Moon River Brewing Company,None provided.,51,36593
3.81,5.50,8,https://cdn.beeradvocate.com/im/beers/127793.jpg,Easy Rye'Da,American IPA,Black Hog Brewing Co.,"jack nicholson, peter fonda and dennis hopper made a movie about a man that went looking for america and couldn’t find it anywhere. our rye ipa gets your motor runnin’, but won’t burn you out. we chopped down the abv on our session style rye so you can cruise on it all day long. take it easy, have a few and remember it’s all about freedom man. lean back and take a long slow sip paired up with an aged grassy cheddar from carr valley creamery in wisconsin, home of the harley davidson. ride responsibly! a percent of proceeds from the sale of our easy rye’da ipa go to the national motorcycle safety foundation.",29,23086
4.13,7.30,9,https://cdn.beeradvocate.com/im/beers/80495.jpg,Dragoon IPA,American IPA,Dragoon Brewing Co.,"This is a true West Coast IPA–it is pale in color, with with bracing bitterness, high alcohol content (about 7.4% abv) and a fruity/floral/citrus hop aroma. It is made from a simple malt bill: North American base and pale caramel malt. We use copious amounts of Northwest hops (Summit, Columbus, Magnum and Zythos) all throughout the boil, with most of it going in within the last 15 minutes. After fermentation is complete, we dry hop it with approximately 1 boatload of each of the same hop varieties.",61,4239
3.82,6.50,10,https://cdn.beeradvocate.com/im/beers/154668.jpg,Misfit IPA,American IPA,Onion Pub & Brewery / Wild Onion Brewing Co.,None provided.,23,22267
